Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Pengaruh Edukasi Investasi, Persepsi Return dan Persepsi Risiko terhadap Minat Berinvestasi Saham Syariah",http://ejournal.iaimu.ac.id/index.php/freakonomics/article/download/32/30,10.36420/freakonomics.v1i1.25,True,,2020,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",FreakonomicS: Journal of Islamic Economics and Finance,False,,"Setyowati, Sulis and Wulandari, Diyah and Hana, Kharis Fadlullah"
Hindari Investasi Bodong Dengan Literasi Finansial,https://scholar.archive.org/work/uraaq7cnunc5bnckqbkvhv4bzy/access/wayback/https://jurnalakrab.kemdikbud.go.id/index.php/jurnalakrab/article/download/190/156,10.51495/jurnalakrab.v9i2.190,True,Hindari Investasi Bodong Dengan Literasi Finansial.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal AKRAB,True,Scholar,"Firdausi, Annas"
Faktor-Faktor Yang Mendorong Keputusan Investasi Saham Di Masa Pandemic,https://proceeding.isas.or.id/index.php/sentrinov/article/view/431,10.52434/jwe.v21i2.1925,True,Faktor-Faktor Yang Mendorong Keputusan Investasi Saham Di Masa Pandemic.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Wacana Ekonomi,True,Scholar,"Mulyana, Tatang and Cupiadi, Hedi and Azzahra, Alya Fattima"
Peningkatan Investasi Dan Hilirisasi Nikel Di Indonesia,https://ejournal.mandalanursa.org/index.php/JISIP/article/view/3085,10.60126/maras.v2i1.189,True,Peningkatan Investasi Dan Hilirisasi Nikel Di Indonesia.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",MARAS: Jurnal Penelitian Multidisiplin,True,Scholar,"Irawan, Irawan and Oha, Geni Ayu Rambu and Heri, Abdul and Fatma, Ipa and Muhammad, Adjie Suradji and Triputro, R. Widodo"
Implementasi Investasi Emas Syariah Perspektif Hukum Islam,https://www.researchgate.net/profile/Bagas-Heradhyaksa/publication/362387927_Jurnal_Hukum_Ekonomi_Islam_JHEI_Implementasi_Investasi_Emas_Syariah_Perspektif_Hukum_Islam_ABST_RAK/links/62e782df7782323cf19067c0/Jurnal-Hukum-Ekonomi-Islam-JHEI-Implementasi-Investasi-Emas-Syariah-Perspektif-Hukum-Islam-ABST-RAK.pdf,10.26618/j-hes.v5i02.5302,True,Implementasi Investasi Emas Syariah Perspektif Hukum Islam.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Hukum Ekonomi Syariah,True,Scholar,"Hafizd, Jefik Zulfikar"
Keputusan Investasi Dan Nilai Perusahaan,http://jurnaltsm.id/index.php/EJATSM/article/view/993,,False,Keputusan Investasi Dan Nilai Perusahaan.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,FS Mumpuni;DK Indrastuti
Standar perlindungan hukum kegiatan investasi pada bisnis jasa pariwisata di indonesia,https://core.ac.uk/download/pdf/268201100.pdf,,False,,2018,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,False,,L Julianti;RP Subekti
Klasifikasi Keputusan Investasi Di Masa Pandemi Covid-19 Dengan Menggunakan Naive Bayes,https://journal.yrpipku.com/index.php/msej/article/view/871,,False,Klasifikasi Keputusan Investasi Di Masa Pandemi Covid-19 Dengan Menggunakan Naive Bayes.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,M Rinestu;B Marsanto
Pengaruh investasi asing dan investasi dalam negeri terhadap perekonomian Indonesia,https://journal.maranatha.edu/index.php/jam/article/view/2282,10.30742/economie.v5i1.3433,True,,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Economie: Jurnal Ilmu Ekonomi,False,,"Maranatha, Belly"
Pengaruh Literasi Keuangan Dan Perilaku Keuangan Terhadap Keputusan Investasi Mahasiswa,http://bussman.gapenas-publisher.org/index.php/home/article/view/39,10.22219/jofei.v3i3.28645,True,Pengaruh Literasi Keuangan Dan Perilaku Keuangan Terhadap Keputusan Investasi Mahasiswa.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Financial Economics &amp; Investment,True,Scholar,Muhammad Distian Andi Hermawan
Analisis Dampak Investasi Terhadap Perekonomian Daerah: Studi Kasus Investasi Pertambangan Mineral Logam Provinsi Papua,https://www.jurnal.perhapi.or.id/index.php/impj/article/view/18,10.36986/impj.v2i1.18,True,Analisis Dampak Investasi Terhadap Perekonomian Daerah_ Studi Kasus Investasi Pertambangan Mineral Logam Provinsi Papua.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Indonesian Mining Professionals Journal,True,Scholar,"Rosyid, Fadhila Achmadi"
"Investasi hijau: mengintergrasikan faktor enviromental, social dan governance dalam keputusan investasi",http://penerbitgoodwood.com/index.php/Jakman/article/view/112,10.35912/jakman.v2i2.112,True,Investasi hijau_ mengintergrasikan faktor enviromental_ social dan governance dalam keputusan investasi.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Jurnal Akuntansi, Keuangan, dan Manajemen",True,Scholar,"Adi Cakranegara, Pandu"
Analisis Faktor Yang Mempengaruhi Investasi Asing Langsung Di Indonesia Pada Tahun 1989-2019,https://transpublika.co.id/ojs/index.php/Transekonomika/article/view/102,10.29103/jeru.v2i2.1721,True,Analisis Faktor Yang Mempengaruhi Investasi Asing Langsung Di Indonesia Pada Tahun 1989-2019.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Ekonomi Regional Unimal,True,Scholar,"Jannah, Rauzatul and Asnawi, Asnawi"
"… atas Risiko terhadap Minat Investasi Mahasiswa di Pasar Modal: Kata Kunci: Sosialisasi Pasar Modal, Persepsi Atas Risiko, Minat Investasi Mahasiswa di Pasar …",http://114.7.153.31/index.php/jam/article/view/2044,,False,__atas Risiko terhadap Minat Investasi Mahasiswa di Pasar Modal_ Kata Kunci_ Sosialisasi Pasar Modal_ Persepsi Atas Risiko_ Minat Investasi Mahasiswa di Pasar__.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,DK Wardani
Analisis Risk dan Return Investasi pada Ethereum dan Saham LQ45,http://penerbitgoodwood.com/index.php/simo/article/view/669,10.35912/simo.v2i2.669,True,Analisis Risk dan Return Investasi pada Ethereum dan Saham LQ45.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Studi Ilmu Manajemen dan Organisasi,True,Scholar,"Chania, Mutia Fitri and Sara, Oyami and Sadalia, Isfenti"
Persepsi Dan Pengambilan Keputusan Milenial Terhadap Instumen Investasi Masa Depan: Studi Literatur,https://inobis.org/ojs/index.php/jurnal-inobis/article/view/129,10.35313/jrbi.v6i3.2235,True,Persepsi Dan Pengambilan Keputusan Milenial Terhadap Instumen Investasi Masa Depan_ Studi Literatur.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Riset Bisnis dan Investasi,True,Scholar,"Stevanus, Yosua and Rahadi, Dedi Rianto"
"Nilai Perusahaan Ditinjau Dari Tanggung Jawab Sosial, Tata Kelola, Dan Kesempatan Investasi Perusahaan",http://www.ojsapaji.org/index.php/apaji/article/view/17,10.35593/apaji.v2i2.17,True,Nilai Perusahaan Ditinjau Dari Tanggung Jawab Sosial_ Tata Kelola_ Dan Kesempatan Investasi Perusahaan.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Accounting Profession Journal,True,Scholar,"Suryandari, Ni Nyoman Ayu and Mongan, Frischa Faradilla Arwinda"
"Analisis pengaruh kebijakan dividen, keputusan investasi dan keputusan pendanaan terhadap nilai perusahaan",https://ejournal.upi.edu/index.php/aset/article/view/16620/0,10.17509/jaset.v11i1.16620,True,Analisis pengaruh kebijakan dividen_ keputusan investasi dan keputusan pendanaan terhadap nilai perusahaan.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal ASET (Akuntansi Riset),True,Scholar,"Piristina, Feny Alvita and Khairunnisa, Khairunnisa"
