Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Eksistensi Kinerja Reksadana Syariah Pada Era New Normal,https://journal.uir.ac.id/index.php/tabarru/article/view/7422,10.25299/jtb.2021.vol4(2).7422,True,Eksistensi Kinerja Reksadana Syariah Pada Era New Normal.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Tabarru’: Islamic Banking and Finance,True,Scholar,"Rapini, Titi and Farida, Umi and Listyono Putro, Rizki"
Investasi Online Reksadana: Aspek Hukum dan Perlindungan Bagi Investor Selaku Konsumen,https://www.neliti.com/publications/521942/investasi-online-reksadana-aspek-hukum-dan-perlindungan-bagi-investor-selaku-kon,10.37541/plenojure.v10i1.561,True,,2021,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",PLENO JURE,False,,"Asriati, Asriati and Baddu, Sumiyati"
Penerapan Dan Perkembangan Reksadana Syariah,https://core.ac.uk/download/pdf/304914821.pdf,10.15575/aksy.v2i1.7862,True,Penerapan Dan Perkembangan Reksadana Syariah.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",AKSY: Jurnal Ilmu Akuntansi dan Bisnis Syariah,True,Scholar,"Firmansyah, Leo"
Reksadana syariah dan konvensional di Indonesia,https://jurnal.polines.ac.id/index.php/keunis/article/view/2629,10.59833/altasyree.v15i01.1152,True,Reksadana syariah dan konvensional di Indonesia.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Al-Tasyree: Jurnal Bisnis, Keuangan dan Ekonomi Syariah",True,Scholar,"Lubis, Rusdi Hamka"
Analisis Kinerja Reksadana Pasar Uang Selama Pandemi Covid 19,https://jurnal.mdp.ac.id/index.php/msc/article/view/1721,,False,Analisis Kinerja Reksadana Pasar Uang Selama Pandemi Covid 19.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,AG Putri;E Wijaya
Reksadana dalam Prespektif Syari'ah,https://www.academia.edu/download/68754532/10_Dimas_Royadi_Reksadana_Ok.pdf,,False,,2021,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,False,,D Roynaldi
"… Nilai Tukar Rupiah (Kurs), Jakarta Islamic Index (JII), Usia Reksadana dan Volume Perdagangan Reksadana Terhadap Nilai Aktiva Bersih (Nab) Reksadana …",https://pustaka.untirta.ac.id/index.php/JTE/article/view/6325,10.35448/jte.v15i1.6325,True,__Nilai Tukar Rupiah _Kurs__ Jakarta Islamic Index _JII__ Usia Reksadana dan Volume Perdagangan Reksadana Terhadap Nilai Aktiva Bersih _Nab_ Reksadana__.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Tirtayasa Ekonomika,True,Scholar,"Chairani, Sarah"
Perbandingan Kinerja Reksadana Konvensional dengan Syariah,https://academicjournal.yarsi.ac.id/jeba/article/view/1242,10.47467/alkharaj.v5i1.1103,True,Perbandingan Kinerja Reksadana Konvensional dengan Syariah.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Al-Kharaj : Jurnal Ekonomi, Keuangan &amp; Bisnis Syariah",True,Scholar,"Caisar, Jefry and Andriana, Isni and Thamrin,  Kemas M. Husni"
Analisis kepuasan pengguna aplikasi bibit reksadana menggunakan metode eucs dan ipa,http://ojs.stmik-banjarbaru.ac.id/index.php/jutisi/article/view/655,10.61805/fahma.v21i3.7,True,Analisis kepuasan pengguna aplikasi bibit reksadana menggunakan metode eucs dan ipa.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Jurnal Informatika Komputer, Bisnis dan Manajemen",True,Scholar,"Winantu, Asih and Viony, Susepta Indah"
"Analisis Kinerja Reksadana Saham Syariah Dengan Metode Sharpe, Treynor, Jensen, M², dan TT",https://e-journal.uac.ac.id/index.php/iijse/article/view/194,10.25105/mrbm.v4i2.8116,True,Analisis Kinerja Reksadana Saham Syariah Dengan Metode Sharpe_ Treynor_ Jensen_ M²_ dan TT.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=reksadana&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Media Riset Bisnis &amp; Manajemen,True,Scholar,"Usman, Bahtiar and Ratnasari, Indri"
