Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Investasi saham di masa pandemi COVID-19,http://download.garuda.kemdikbud.go.id/article.php?article=2192124&val=10503&title=Investasi%20Saham%20di%20Masa%20Pandemi%20COVID-19,10.32795/widyaakuntansi.v6i2.3517,True,Investasi saham di masa pandemi COVID-19.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Widya Akuntansi dan Keuangan,True,Scholar,"Fridagustina Adnantara, Komang"
Faktor-Faktor Yang Mempengaruhi Harga Saham,https://jurnal.unej.ac.id/index.php/prosiding/article/download/9187/6152,10.33365/jeb.v2i1.75,True,Faktor-Faktor Yang Mempengaruhi Harga Saham.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journals of Economics and Business,True,Scholar,"Prasetya, Toni Jaya and Dina Safitri, Vera Apri and Yufantria, Fenni"
Faktor-Faktor Yang Mempengaruhi Return Saham,http://jurnaltsm.id/index.php/JBA/article/view/706,10.24912/jpa.v5i4.26640,True,Faktor-Faktor Yang Mempengaruhi Return Saham.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Paradigma Akuntansi,True,Scholar,"Angelia, Angelia and Santioso, Linda"
Pengaruh faktor fundamental terhadap return saham,https://www.academia.edu/download/75049049/196.pdf,10.26877/sta.v3i1.6425,True,,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Stability: Journal of Management and Business,False,,"Ningrum, Intan Novita and Hermuningsih, Sri"
"Pengaruh EPS, PER, CR dan ROE terhadap harga saham di Bursa Efek Indonesia",https://ojs.unud.ac.id/index.php/Manajemen/article/download/37167/23263,10.54144/jadbis.v8i3.3801,True,Pengaruh EPS_ PER_ CR dan ROE terhadap harga saham di Bursa Efek Indonesia.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Administrasi Bisnis Fisipol Unmul,True,Scholar,"Saputra, Puput Rarindra Adi"
Minat Investasi Saham pada Mahasiswa,http://www.jurnal.uts.ac.id/index.php/jebi/article/view/285,10.21632/saki.6.1.15-37,True,Minat Investasi Saham pada Mahasiswa.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Studi Akuntansi dan Keuangan Indonesia,True,Scholar,"Rona, I Wayan and Sinarwati, Ni Kadek and Suci, Ni Made"
Faktor-faktor yang mempengaruhi return saham,https://jurnal.unissula.ac.id/index.php/ekobis/article/download/3367/2492,10.24912/jpa.v5i4.26640,True,Faktor-faktor yang mempengaruhi return saham.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Paradigma Akuntansi,True,Scholar,"Angelia, Angelia and Santioso, Linda"
Faktor–Faktor Yang Mempengaruhi Return Saham Pada Perusahaan Property Tahun 2014–2016 Di Bursa Efek Indonesia,https://stiemmamuju.e-journal.id/FJIIM/article/view/29,10.51544/jma.v8i2.4708,True,Faktor_Faktor Yang Mempengaruhi Return Saham Pada Perusahaan Property Tahun 2014_2016 Di Bursa Efek Indonesia.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",JURNAL MUTIARA AKUNTANSI,True,Scholar,"Tika Handayani and Hasibuan, Rahnawaty and Shally Rizkiyanti and Ardelia Suharmanto and Maulidia Berlianti"
"Pengaruh Likuiditas, Profitabilitas, Dan Rasio Pasar Terhadap Harga Saham (Studi Kasus Pada Perusahaan Indeks Lq45 Yang Terdaftar Di Bursa Efek Indonesia …",http://jurnal.teknokrat.ac.id/index.php/JEB/article/view/114,10.32877/eb.v4i3.301,True,,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",eCo-Buss,False,,"Veronica, Veronica and Natalia, Erni Yanti"
Analisis Harga Saham yang Dimoderasi Return Saham Implementasi Pada Manajemen Keuangan,https://repo.iainbatusangkar.ac.id/xmlui/handle/123456789/23978,,False,,2021,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,False,,D Sunaryo;S MB
Analisis Potensi Abnormal Return Positif Terbesar Saham PT. Kalbe Farma Selama Pandemi Covid-19,https://www.valuasi.lppmbinabangsa.id/index.php/home/article/view/93,10.46306/vls.v2i1.93,True,Analisis Potensi Abnormal Return Positif Terbesar Saham PT. Kalbe Farma Selama Pandemi Covid-19.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Valuasi: Jurnal Ilmiah Ilmu Manajemen dan Kewirausahaan,True,Scholar,"Amin, Mohammad Arridho Nur"
Apa saja faktor-faktor yang mempengaruhi harga saham,https://journal.stekom.ac.id/index.php/Bisnis/article/view/837,10.33365/jeb.v2i1.75,True,Apa saja faktor-faktor yang mempengaruhi harga saham.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journals of Economics and Business,True,Scholar,"Prasetya, Toni Jaya and Dina Safitri, Vera Apri and Yufantria, Fenni"
Pengaruh faktor internal dan eksternal terhadap harga saham,https://ejournal.undiksha.ac.id/index.php/JJA/article/view/25862,10.31316/akmenika.v15i1.936,True,Pengaruh faktor internal dan eksternal terhadap harga saham.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Akmenika: Jurnal Akuntansi dan Manajemen,True,Scholar,"Wardani, Dewi Kusuma and Setiya Putri, Hany Nur"
"Pengaruh DER, ROA, ROE, EPS dan MVA terhadap harga saham pada indeks saham syariah Indonesia",http://download.garuda.kemdikbud.go.id/article.php?article=940732&val=14584&title=PENGARUH%20DER%20ROA%20ROE%20EPS%20DAN%20MVA%20TERHADAP%20HARGA%20SAHAM%20PADA%20INDEKS%20SAHAM%20SYARIAH%20INDONESIA,10.30871/jama.v2i2.910,True,Pengaruh DER_ ROA_ ROE_ EPS dan MVA terhadap harga saham pada indeks saham syariah Indonesia.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",JOURNAL OF APPLIED MANAGERIAL ACCOUNTING,True,Scholar,"Utami, Martina Rut and Darmawan, Arif"
